Port_IDs,Score
3960874214179953664,4422.719985843005
3956076827719377409,3444.121582113272
3788465932399412480,3133.8985307197195
3936410995029308417,2677.472785182978
3987739404272887297,2362.957674145871
3939318616482048768,2085.2783083638205
3818233536529843712,1820.5825234085953
3942630767220672256,1800.353177680411
3951723256343550465,1791.282378537192
4011626972687000576,1625.805609271123
3931992636670880512,1534.110859591899
3976088733682659585,1474.8362117164895
4031493134338259457,1471.5135398399907
4037121179310444801,1467.0028762626766
3886752488982104320,1465.4447359014741
3957509601040585217,1430.6449310049074
4028701921959171840,1356.8710562080314
4008711265867865600,1335.4806012644767
3953764659057081857,1308.6134418290142
3879821005658659073,1180.1317815491516
